case_id,drug,disease,category,status,prediction,expected,runtime_seconds,mechanistic_score,support_score,cache_hit
CYN-003,Lisinopril,Hypertension,Established positive,SUCCESS,SUPPORT,SUPPORT,42.82,0.49,0.9913,False
CYN-013,Aspirin,Secondary prevention of cardiovascular disease,Established positive,SUCCESS,SUPPORT,SUPPORT,30.22,0.0,0.9876,False
CYN-023,Budesonide,Asthma,Established positive,SUCCESS,SUPPORT,SUPPORT,0.05,0.49,0.9954,True
CYN-026,Fluticasone,Allergic rhinitis,Established positive,SUCCESS,SUPPORT,SUPPORT,42.57,0.4132,0.9878,False
CYN-036,Etanercept,Rheumatoid arthritis,Established positive,SUCCESS,OPPOSE,SUPPORT,50.58,0.49,0.964,False
CYN-041,Tamoxifen,ER-positive breast cancer,Established positive,SUCCESS,UNCERTAIN,SUPPORT,51.95,0.0,0.963,False
CYN-044,Trastuzumab,HER2-positive breast cancer,Established positive,SUCCESS,SUPPORT,SUPPORT,43.36,0.0,0.9634,False
CYN-251,Metformin,Pancreatic cancer,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,48.91,0.0,0.9539,False
CYN-260,Furosemide,Depression,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,94.19,0.0,0.9818,False
CYN-261,Warfarin,Leishmaniasis,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,84.13,0.3714,0.9382,False
CYN-277,Pregabalin,Breast cancer,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,30.56,0.4621,0.9866,False
CYN-284,Tamsulosin,Liver cancer,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,45.72,0.3984,0.9727,False
CYN-299,Imatinib,COVID-19,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,44.91,0.3394,0.9885,False
CYN-103,Azithromycin,COVID-19,Contradictory/negative,SUCCESS,OPPOSE,OPPOSE,43.74,0.0,0.9861,False
CYN-109,Fluvoxamine,COVID-19,Contradictory/negative,SUCCESS,OPPOSE,OPPOSE,43.49,0.3437,0.9857,False
CYN-111,Aspirin,COVID-19,Contradictory/negative,SUCCESS,UNCERTAIN,OPPOSE,41.66,0.409,0.985,False
CYN-117,Baricitinib,COVID-19,Contradictory/negative,SUCCESS,UNCERTAIN,OPPOSE,37.54,0.4852,0.988,False
CYN-125,Atorvastatin,Alzheimer disease,Contradictory/negative,SUCCESS,UNCERTAIN,OPPOSE,32.75,0.3966,0.9607,False
CYN-137,Lithium,Alzheimer disease,Contradictory/negative,SUCCESS,UNCERTAIN,OPPOSE,37.07,0.0,0.9559,False
CYN-179,Propranolol,Depression,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,38.12,0.0,0.957,False
CYN-186,Colchicine,Colorectal cancer,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,72.8,0.4214,0.9832,False
CYN-200,Escitalopram,Neuropathic pain,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,42.53,0.0,0.9222,False
CYN-213,Furosemide,COPD,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,31.67,0.3965,0.9859,False
CYN-221,Baricitinib,Influenza,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,31.26,0.3914,0.9634,False
CYN-249,Losartan,Breast cancer,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,43.74,0.0,0.9633,False
