case_id,drug,disease,category,status,prediction,expected,runtime_seconds,mechanistic_score,support_score,cache_hit
CYN-003,Lisinopril,Hypertension,Established positive,SUCCESS,SUPPORT,SUPPORT,84.18,0.49,0.9962,False
CYN-013,Aspirin,Secondary prevention of cardiovascular disease,Established positive,SUCCESS,UNCERTAIN,SUPPORT,75.5,0.0,0.9945,False
CYN-023,Budesonide,Asthma,Established positive,SUCCESS,SUPPORT,SUPPORT,84.54,0.49,0.9961,False
CYN-026,Fluticasone,Allergic rhinitis,Established positive,SUCCESS,UNCERTAIN,SUPPORT,90.68,0.4132,0.9849,False
CYN-036,Etanercept,Rheumatoid arthritis,Established positive,SUCCESS,SUPPORT,SUPPORT,82.75,0.49,0.9954,False
CYN-041,Tamoxifen,ER-positive breast cancer,Established positive,SUCCESS,UNCERTAIN,SUPPORT,91.53,0.0,0.9893,False
CYN-044,Trastuzumab,HER2-positive breast cancer,Established positive,SUCCESS,SUPPORT,SUPPORT,89.76,0.0,0.9894,False
CYN-251,Metformin,Pancreatic cancer,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,95.18,0.0,0.9861,False
CYN-260,Furosemide,Depression,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,83.4,0.0,0.9943,False
CYN-261,Warfarin,Leishmaniasis,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,34.02,0.3714,0.9768,False
CYN-277,Pregabalin,Breast cancer,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,88.35,0.4621,0.9955,False
CYN-284,Tamsulosin,Liver cancer,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,92.83,0.3984,0.9467,False
CYN-299,Imatinib,COVID-19,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,93.24,0.0,0.9901,False
CYN-103,Azithromycin,COVID-19,Contradictory/negative,SUCCESS,OPPOSE,OPPOSE,42.55,0.0,0.9942,False
CYN-109,Fluvoxamine,COVID-19,Contradictory/negative,SUCCESS,UNCERTAIN,OPPOSE,91.03,0.3437,0.9912,False
CYN-111,Aspirin,COVID-19,Contradictory/negative,SUCCESS,UNCERTAIN,OPPOSE,89.46,0.409,0.9855,False
CYN-117,Baricitinib,COVID-19,Contradictory/negative,SUCCESS,UNCERTAIN,OPPOSE,93.55,0.4852,0.9894,False
CYN-125,Atorvastatin,Alzheimer disease,Contradictory/negative,SUCCESS,UNCERTAIN,OPPOSE,90.06,0.3966,0.9877,False
CYN-137,Lithium,Alzheimer disease,Contradictory/negative,SUCCESS,UNCERTAIN,OPPOSE,29.73,0.0,0.9944,False
CYN-179,Propranolol,Depression,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,46.65,0.0,0.9938,False
CYN-186,Colchicine,Colorectal cancer,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,91.51,0.4214,0.9875,False
CYN-200,Escitalopram,Neuropathic pain,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,93.31,0.4009,0.9725,False
CYN-213,Furosemide,COPD,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,92.2,0.3965,0.9854,False
CYN-221,Baricitinib,Influenza,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,39.85,0.3914,0.9953,False
CYN-249,Losartan,Breast cancer,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,72.54,0.0,0.9953,False
