case_id,drug,disease,category,status,prediction,expected,runtime_seconds,mechanistic_score,support_score,cache_hit
CYN-003,Lisinopril,Hypertension,Established positive,SUCCESS,UNCERTAIN,SUPPORT,0.07,0.49,0.9893,True
CYN-013,Aspirin,Secondary prevention of cardiovascular disease,Established positive,SUCCESS,UNCERTAIN,SUPPORT,0.03,0.0,0.9857,True
CYN-023,Budesonide,Asthma,Established positive,SUCCESS,UNCERTAIN,SUPPORT,0.06,0.49,0.9947,True
CYN-026,Fluticasone,Allergic rhinitis,Established positive,SUCCESS,UNCERTAIN,SUPPORT,0.04,0.4132,0.9849,True
CYN-036,Etanercept,Rheumatoid arthritis,Established positive,SUCCESS,UNCERTAIN,SUPPORT,0.07,0.49,0.9883,True
CYN-041,Tamoxifen,ER-positive breast cancer,Established positive,SUCCESS,UNCERTAIN,SUPPORT,0.04,0.0,0.9953,True
CYN-044,Trastuzumab,HER2-positive breast cancer,Established positive,SUCCESS,UNCERTAIN,SUPPORT,0.04,0.0,0.9873,True
CYN-251,Metformin,Pancreatic cancer,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,0.05,0.0,0.9884,True
CYN-260,Furosemide,Depression,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,0.04,0.0,0.9865,True
CYN-261,Warfarin,Leishmaniasis,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,0.04,0.3714,0.945,True
CYN-277,Pregabalin,Breast cancer,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,0.07,0.4621,0.989,True
CYN-284,Tamsulosin,Liver cancer,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,0.06,0.3984,0.9786,True
CYN-299,Imatinib,COVID-19,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,0.1,0.3274,0.9884,True
CYN-103,Azithromycin,COVID-19,Contradictory/negative,SUCCESS,UNCERTAIN,OPPOSE,0.04,0.0,0.9837,True
CYN-109,Fluvoxamine,COVID-19,Contradictory/negative,SUCCESS,UNCERTAIN,OPPOSE,0.06,0.3437,0.9901,True
CYN-111,Aspirin,COVID-19,Contradictory/negative,SUCCESS,UNCERTAIN,OPPOSE,0.06,0.409,0.9866,True
CYN-117,Baricitinib,COVID-19,Contradictory/negative,SUCCESS,UNCERTAIN,OPPOSE,0.21,0.4852,0.9949,True
CYN-125,Atorvastatin,Alzheimer disease,Contradictory/negative,SUCCESS,UNCERTAIN,OPPOSE,0.07,0.3966,0.9858,True
CYN-137,Lithium,Alzheimer disease,Contradictory/negative,SUCCESS,UNCERTAIN,OPPOSE,0.06,0.0,0.9869,True
CYN-179,Propranolol,Depression,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,140.53,0.0,0.9938,False
CYN-186,Colchicine,Colorectal cancer,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,103.49,0.4214,0.9955,False
CYN-200,Escitalopram,Neuropathic pain,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,115.11,0.4009,0.9884,False
CYN-213,Furosemide,COPD,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,143.34,0.3965,0.9854,False
CYN-221,Baricitinib,Influenza,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,130.58,0.386,0.987,False
CYN-249,Losartan,Breast cancer,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,135.19,0.0,0.9955,False
