case_id,drug,disease,category,status,prediction,expected,runtime_seconds,mechanistic_score,support_score,cache_hit
CYN-003,Lisinopril,Hypertension,Established positive,SUCCESS,SUPPORT,SUPPORT,0.06,0.49,0.991,True
CYN-013,Aspirin,Secondary prevention of cardiovascular disease,Established positive,SUCCESS,UNCERTAIN,SUPPORT,0.03,0.0,0.9857,True
CYN-023,Budesonide,Asthma,Established positive,SUCCESS,SUPPORT,SUPPORT,0.06,0.49,0.9906,True
CYN-026,Fluticasone,Allergic rhinitis,Established positive,SUCCESS,UNCERTAIN,SUPPORT,0.06,0.4132,0.9936,True
CYN-036,Etanercept,Rheumatoid arthritis,Established positive,SUCCESS,SUPPORT,SUPPORT,132.53,0.49,0.9882,False
CYN-041,Tamoxifen,ER-positive breast cancer,Established positive,SUCCESS,UNCERTAIN,SUPPORT,101.26,0.0,0.9886,False
CYN-044,Trastuzumab,HER2-positive breast cancer,Established positive,SUCCESS,SUPPORT,SUPPORT,34.63,0.0,0.995,False
CYN-251,Metformin,Pancreatic cancer,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,97.46,0.0,0.9861,False
CYN-260,Furosemide,Depression,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,65.47,0.0,0.9943,False
CYN-261,Warfarin,Leishmaniasis,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,104.67,0.3714,0.945,False
CYN-277,Pregabalin,Breast cancer,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,100.94,0.4621,0.9894,False
CYN-284,Tamsulosin,Liver cancer,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,103.54,0.3984,0.9467,False
CYN-299,Imatinib,COVID-19,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,120.59,0.3394,0.9901,False
CYN-103,Azithromycin,COVID-19,Contradictory/negative,SUCCESS,UNCERTAIN,OPPOSE,86.83,0.0,0.9861,False
CYN-109,Fluvoxamine,COVID-19,Contradictory/negative,SUCCESS,UNCERTAIN,OPPOSE,100.46,0.3437,0.9916,False
CYN-111,Aspirin,COVID-19,Contradictory/negative,SUCCESS,UNCERTAIN,OPPOSE,71.85,0.409,0.9939,False
CYN-117,Baricitinib,COVID-19,Contradictory/negative,SUCCESS,UNCERTAIN,OPPOSE,134.61,0.4852,0.9894,False
CYN-125,Atorvastatin,Alzheimer disease,Contradictory/negative,TIMEOUT,UNCERTAIN,OPPOSE,180.01,0.0,0.0,False
CYN-137,Lithium,Alzheimer disease,Contradictory/negative,TIMEOUT,UNCERTAIN,OPPOSE,180.04,0.0,0.0,False
CYN-179,Propranolol,Depression,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,133.77,0.0,0.9854,False
CYN-186,Colchicine,Colorectal cancer,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,161.97,0.4214,0.9875,False
CYN-200,Escitalopram,Neuropathic pain,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,114.5,0.4009,0.9725,False
CYN-213,Furosemide,COPD,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,65.97,0.3965,0.9938,False
CYN-221,Baricitinib,Influenza,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,33.92,0.3891,0.9953,False
CYN-249,Losartan,Breast cancer,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,39.16,0.0,0.9953,False
