case_id,drug,disease,category,status,prediction,expected,runtime_seconds,mechanistic_score,support_score,cache_hit
CYN-003,Lisinopril,Hypertension,Established positive,SUCCESS,SUPPORT,SUPPORT,59.48,0.49,0.9955,False
CYN-013,Aspirin,Secondary prevention of cardiovascular disease,Established positive,SUCCESS,SUPPORT,SUPPORT,97.9,0.0,0.994,False
CYN-023,Budesonide,Asthma,Established positive,SUCCESS,SUPPORT,SUPPORT,88.73,0.49,0.9947,False
CYN-026,Fluticasone,Allergic rhinitis,Established positive,SUCCESS,SUPPORT,SUPPORT,102.04,0.4132,0.9849,False
CYN-036,Etanercept,Rheumatoid arthritis,Established positive,SUCCESS,SUPPORT,SUPPORT,96.96,0.49,0.9953,False
CYN-041,Tamoxifen,ER-positive breast cancer,Established positive,SUCCESS,SUPPORT,SUPPORT,108.06,0.0,0.9888,False
CYN-044,Trastuzumab,HER2-positive breast cancer,Established positive,SUCCESS,SUPPORT,SUPPORT,74.38,0.0,0.9947,False
CYN-251,Metformin,Pancreatic cancer,Hard negative,SUCCESS,SUPPORT,OPPOSE,96.95,0.0,0.9884,False
CYN-260,Furosemide,Depression,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,106.6,0.0,0.9943,False
CYN-261,Warfarin,Leishmaniasis,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,101.74,0.3714,0.945,False
CYN-277,Pregabalin,Breast cancer,Hard negative,SUCCESS,SUPPORT,OPPOSE,77.87,0.4621,0.9954,False
CYN-284,Tamsulosin,Liver cancer,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,107.19,0.3984,0.9493,False
CYN-299,Imatinib,COVID-19,Hard negative,SUCCESS,UNCERTAIN,OPPOSE,120.23,0.0,0.9884,False
CYN-103,Azithromycin,COVID-19,Contradictory/negative,SUCCESS,SUPPORT,OPPOSE,74.46,0.0,0.9931,False
CYN-109,Fluvoxamine,COVID-19,Contradictory/negative,SUCCESS,SUPPORT,OPPOSE,140.14,0.3437,0.9901,False
CYN-111,Aspirin,COVID-19,Contradictory/negative,SUCCESS,SUPPORT,OPPOSE,117.97,0.409,0.9866,False
CYN-117,Baricitinib,COVID-19,Contradictory/negative,SUCCESS,SUPPORT,OPPOSE,52.82,0.4852,0.9949,False
CYN-125,Atorvastatin,Alzheimer disease,Contradictory/negative,SUCCESS,SUPPORT,OPPOSE,47.12,0.3966,0.994,False
CYN-137,Lithium,Alzheimer disease,Contradictory/negative,SUCCESS,SUPPORT,OPPOSE,107.76,0.0,0.9869,False
CYN-179,Propranolol,Depression,Weak/indirect,SUCCESS,SUPPORT,UNCERTAIN,115.83,0.0,0.9854,False
CYN-186,Colchicine,Colorectal cancer,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,121.35,0.4214,0.9893,False
CYN-200,Escitalopram,Neuropathic pain,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,119.56,0.4009,0.9725,False
CYN-213,Furosemide,COPD,Weak/indirect,SUCCESS,SUPPORT,UNCERTAIN,116.31,0.3965,0.9854,False
CYN-221,Baricitinib,Influenza,Weak/indirect,SUCCESS,UNCERTAIN,UNCERTAIN,48.73,0.386,0.9945,False
CYN-249,Losartan,Breast cancer,Weak/indirect,SUCCESS,SUPPORT,UNCERTAIN,115.42,0.0,0.9894,False
